PAIS,SEXO,RAZA,ANALFABETOS,ALFABETOS,ID_Demografia,ID_Zona
EL SALVADOR,hombres,INDIGENAS,2908,4340,94,1
EL SALVADOR,hombres,INDIGENAS,424,2645,95,1
EL SALVADOR,hombres,INDIGENAS,360,6024,96,1
EL SALVADOR,hombres,INDIGENAS,964,4686,97,1
EL SALVADOR,hombres,INDIGENAS,1854,7775,98,1
EL SALVADOR,hombres,INDIGENAS,2050,6831,99,1
EL SALVADOR,hombres,INDIGENAS,1967,2312,100,1
EL SALVADOR,hombres,INDIGENAS,1852,4952,101,1
EL SALVADOR,hombres,INDIGENAS,1341,4624,102,1
EL SALVADOR,hombres,INDIGENAS,186,7490,103,1
EL SALVADOR,hombres,INDIGENAS,2030,5579,104,1
EL SALVADOR,hombres,INDIGENAS,35,2989,105,1
EL SALVADOR,hombres,INDIGENAS,1655,2079,106,1
EL SALVADOR,hombres,INDIGENAS,762,3957,107,1
EL SALVADOR,hombres,INDIGENAS,1905,5250,108,1
EL SALVADOR,hombres,INDIGENAS,1333,1058,109,1
EL SALVADOR,hombres,INDIGENAS,2625,5597,110,1
EL SALVADOR,hombres,INDIGENAS,1082,4821,111,1
EL SALVADOR,hombres,INDIGENAS,1615,4290,112,1
EL SALVADOR,hombres,INDIGENAS,2890,2935,113,1
EL SALVADOR,hombres,INDIGENAS,2061,3050,114,1
EL SALVADOR,hombres,INDIGENAS,2297,5303,115,1
EL SALVADOR,hombres,INDIGENAS,9,3885,116,1
EL SALVADOR,hombres,INDIGENAS,2645,4867,117,1
EL SALVADOR,hombres,INDIGENAS,1427,2274,118,1
EL SALVADOR,hombres,INDIGENAS,78,4876,119,1
EL SALVADOR,hombres,INDIGENAS,1435,5417,120,1
EL SALVADOR,hombres,INDIGENAS,1065,4145,121,1
EL SALVADOR,hombres,INDIGENAS,2893,3961,122,1
EL SALVADOR,hombres,INDIGENAS,2264,4771,123,1
EL SALVADOR,hombres,INDIGENAS,1252,5838,124,1
EL SALVADOR,hombres,INDIGENAS,1038,4889,125,1
EL SALVADOR,hombres,INDIGENAS,1903,4868,126,1
EL SALVADOR,hombres,INDIGENAS,1360,2117,127,1
EL SALVADOR,hombres,INDIGENAS,1444,5237,128,1
EL SALVADOR,hombres,INDIGENAS,2126,2438,129,1
EL SALVADOR,hombres,INDIGENAS,727,3718,130,1
EL SALVADOR,hombres,INDIGENAS,181,1044,131,1
EL SALVADOR,hombres,INDIGENAS,1320,2879,132,1
EL SALVADOR,hombres,INDIGENAS,1431,6081,133,1
EL SALVADOR,hombres,INDIGENAS,185,5146,134,1
EL SALVADOR,hombres,INDIGENAS,1871,7101,135,1
EL SALVADOR,hombres,INDIGENAS,2930,3870,136,1
EL SALVADOR,hombres,INDIGENAS,976,5001,137,1
EL SALVADOR,hombres,INDIGENAS,416,4826,138,1
EL SALVADOR,hombres,INDIGENAS,1231,5008,139,1
EL SALVADOR,hombres,INDIGENAS,1989,2523,140,1
EL SALVADOR,hombres,INDIGENAS,586,5922,141,1
EL SALVADOR,hombres,INDIGENAS,1735,6380,142,1
EL SALVADOR,hombres,INDIGENAS,1211,3498,143,1
EL SALVADOR,hombres,INDIGENAS,2169,2881,144,1
EL SALVADOR,hombres,INDIGENAS,1526,3890,145,1
EL SALVADOR,hombres,INDIGENAS,967,2800,146,1
EL SALVADOR,hombres,INDIGENAS,1013,5024,147,1
EL SALVADOR,hombres,INDIGENAS,2295,7762,148,1
EL SALVADOR,hombres,INDIGENAS,351,5447,149,1
EL SALVADOR,hombres,INDIGENAS,381,3708,150,1
EL SALVADOR,hombres,INDIGENAS,2498,4504,151,1
EL SALVADOR,hombres,INDIGENAS,141,6942,152,1
EL SALVADOR,hombres,INDIGENAS,2935,4564,153,1
EL SALVADOR,hombres,INDIGENAS,1521,8109,154,1
EL SALVADOR,hombres,INDIGENAS,1054,2988,155,1
EL SALVADOR,hombres,INDIGENAS,717,5631,156,1
EL SALVADOR,hombres,INDIGENAS,781,2630,157,1
EL SALVADOR,hombres,INDIGENAS,1972,4542,158,1
EL SALVADOR,hombres,INDIGENAS,829,4186,159,1
EL SALVADOR,hombres,INDIGENAS,1216,4920,160,1
EL SALVADOR,hombres,INDIGENAS,1172,4784,161,1
EL SALVADOR,hombres,INDIGENAS,700,5468,162,1
EL SALVADOR,hombres,INDIGENAS,1076,1890,163,1
EL SALVADOR,hombres,INDIGENAS,1142,4191,164,1
EL SALVADOR,hombres,INDIGENAS,969,3917,165,1
EL SALVADOR,hombres,INDIGENAS,435,6122,166,1
EL SALVADOR,hombres,INDIGENAS,1850,7184,167,1
EL SALVADOR,hombres,INDIGENAS,1331,2517,168,1
EL SALVADOR,hombres,INDIGENAS,1076,5007,169,1
EL SALVADOR,hombres,INDIGENAS,362,3610,170,1
EL SALVADOR,hombres,INDIGENAS,1064,3229,171,1
EL SALVADOR,hombres,INDIGENAS,2939,7180,172,1
EL SALVADOR,hombres,INDIGENAS,470,4939,173,1
EL SALVADOR,hombres,INDIGENAS,2878,2248,174,1
EL SALVADOR,hombres,INDIGENAS,1367,2885,175,1
EL SALVADOR,hombres,INDIGENAS,2467,4830,176,1
EL SALVADOR,hombres,INDIGENAS,958,3622,177,1
EL SALVADOR,hombres,INDIGENAS,2918,3070,178,1
EL SALVADOR,hombres,INDIGENAS,2538,6777,179,1
EL SALVADOR,hombres,INDIGENAS,2114,7784,180,1
EL SALVADOR,hombres,INDIGENAS,1681,4102,181,1
EL SALVADOR,hombres,INDIGENAS,1179,5790,182,1
EL SALVADOR,hombres,INDIGENAS,1214,2365,183,1
EL SALVADOR,hombres,INDIGENAS,1013,4344,184,1
EL SALVADOR,hombres,INDIGENAS,1943,1931,185,1
EL SALVADOR,hombres,INDIGENAS,2849,3312,186,1
EL SALVADOR,hombres,INDIGENAS,774,2076,187,1
EL SALVADOR,hombres,INDIGENAS,1431,2396,188,1
EL SALVADOR,hombres,INDIGENAS,2173,6486,189,1
EL SALVADOR,hombres,INDIGENAS,428,6090,190,1
EL SALVADOR,hombres,INDIGENAS,1699,6466,191,1
EL SALVADOR,hombres,INDIGENAS,1526,3981,192,1
EL SALVADOR,hombres,INDIGENAS,360,6006,193,1
EL SALVADOR,hombres,INDIGENAS,2637,2940,194,1
EL SALVADOR,hombres,INDIGENAS,1652,5056,195,1
EL SALVADOR,hombres,INDIGENAS,2029,6249,196,1
EL SALVADOR,hombres,INDIGENAS,2981,3452,197,1
EL SALVADOR,hombres,INDIGENAS,173,5884,198,1
EL SALVADOR,hombres,INDIGENAS,2561,3648,199,1
EL SALVADOR,hombres,INDIGENAS,2822,3885,200,1
EL SALVADOR,hombres,INDIGENAS,1910,2651,201,1
EL SALVADOR,hombres,INDIGENAS,1789,4678,202,1
EL SALVADOR,hombres,INDIGENAS,451,6529,203,1
EL SALVADOR,hombres,INDIGENAS,903,4261,204,1
EL SALVADOR,hombres,INDIGENAS,57,4086,205,1
EL SALVADOR,hombres,INDIGENAS,2265,2876,206,1
EL SALVADOR,hombres,INDIGENAS,523,6953,207,1
EL SALVADOR,hombres,INDIGENAS,2389,4989,208,1
EL SALVADOR,hombres,INDIGENAS,2432,6116,209,1
EL SALVADOR,hombres,INDIGENAS,1078,6059,210,1
EL SALVADOR,hombres,INDIGENAS,1310,3835,211,1
EL SALVADOR,hombres,INDIGENAS,903,4944,212,1
EL SALVADOR,hombres,INDIGENAS,280,5089,213,1
EL SALVADOR,hombres,INDIGENAS,2739,7586,214,1
EL SALVADOR,hombres,INDIGENAS,500,3909,215,1
EL SALVADOR,hombres,INDIGENAS,1655,4897,216,1
EL SALVADOR,hombres,INDIGENAS,2766,4559,217,1
EL SALVADOR,hombres,INDIGENAS,2316,3309,218,1
EL SALVADOR,hombres,INDIGENAS,1336,6022,219,1
EL SALVADOR,hombres,INDIGENAS,1492,5321,220,1
EL SALVADOR,hombres,INDIGENAS,832,1765,221,1
EL SALVADOR,hombres,INDIGENAS,1420,4904,222,1
EL SALVADOR,hombres,INDIGENAS,903,7108,223,1
EL SALVADOR,hombres,INDIGENAS,704,6908,224,1
EL SALVADOR,hombres,INDIGENAS,231,2832,225,1
EL SALVADOR,hombres,INDIGENAS,2651,4258,226,1
EL SALVADOR,hombres,INDIGENAS,2309,6254,227,1
EL SALVADOR,hombres,INDIGENAS,1170,2855,228,1
EL SALVADOR,hombres,INDIGENAS,1494,4773,229,1
EL SALVADOR,hombres,INDIGENAS,2502,3428,230,1
EL SALVADOR,hombres,INDIGENAS,1413,4526,231,1
EL SALVADOR,hombres,INDIGENAS,1556,6305,232,1
EL SALVADOR,hombres,INDIGENAS,244,4988,233,1
EL SALVADOR,hombres,INDIGENAS,842,3470,234,1
EL SALVADOR,hombres,INDIGENAS,2620,6043,235,1
EL SALVADOR,hombres,INDIGENAS,170,6681,236,1
EL SALVADOR,hombres,INDIGENAS,2217,4729,237,1
EL SALVADOR,hombres,INDIGENAS,2334,4079,238,1
EL SALVADOR,hombres,INDIGENAS,1214,6140,239,1
EL SALVADOR,hombres,INDIGENAS,857,3072,240,1
EL SALVADOR,hombres,INDIGENAS,1355,6923,241,1
EL SALVADOR,hombres,INDIGENAS,1310,4861,242,1
EL SALVADOR,hombres,INDIGENAS,569,3094,243,1
EL SALVADOR,hombres,INDIGENAS,2767,3766,244,1
EL SALVADOR,hombres,INDIGENAS,2291,6638,245,1
EL SALVADOR,hombres,INDIGENAS,1832,7021,246,1
EL SALVADOR,hombres,INDIGENAS,1805,3918,247,1
EL SALVADOR,hombres,INDIGENAS,905,3326,248,1
EL SALVADOR,hombres,INDIGENAS,838,6119,249,1
EL SALVADOR,hombres,INDIGENAS,1132,7927,250,1
Nicaragua,hombres,INDIGENAS,2034,3834,251,1
Nicaragua,hombres,INDIGENAS,710,4161,252,1
Nicaragua,hombres,INDIGENAS,305,4863,253,1
Nicaragua,hombres,INDIGENAS,2161,2137,254,1
Nicaragua,hombres,INDIGENAS,1206,3236,255,1
Nicaragua,hombres,INDIGENAS,1192,4966,256,1
Nicaragua,hombres,INDIGENAS,740,3341,257,1
Nicaragua,hombres,INDIGENAS,771,4392,258,1
Nicaragua,hombres,INDIGENAS,2050,4980,259,1
Nicaragua,hombres,INDIGENAS,2966,2818,260,1
Nicaragua,hombres,INDIGENAS,1279,6385,261,1
Nicaragua,hombres,INDIGENAS,405,3884,262,1
Nicaragua,hombres,INDIGENAS,274,6054,263,1
Nicaragua,hombres,INDIGENAS,2642,4939,264,1
Nicaragua,hombres,INDIGENAS,835,4543,265,1
Nicaragua,hombres,INDIGENAS,2789,2887,266,1
Nicaragua,hombres,INDIGENAS,5,5420,267,1
Nicaragua,hombres,INDIGENAS,1133,7326,268,1
Nicaragua,hombres,INDIGENAS,87,2696,269,1
Nicaragua,hombres,INDIGENAS,873,6022,270,1
Nicaragua,hombres,INDIGENAS,1177,3967,271,1
Nicaragua,hombres,INDIGENAS,372,3269,272,1
Nicaragua,hombres,INDIGENAS,1029,2207,273,1
Nicaragua,hombres,INDIGENAS,460,2598,274,1
Nicaragua,hombres,INDIGENAS,2336,6900,275,1
Nicaragua,hombres,INDIGENAS,505,3244,276,1
Nicaragua,hombres,INDIGENAS,2913,2710,277,1
Nicaragua,hombres,INDIGENAS,1089,6232,278,1
Nicaragua,hombres,INDIGENAS,1234,2428,279,1
Nicaragua,hombres,INDIGENAS,915,7155,280,1
Nicaragua,hombres,INDIGENAS,2948,4958,281,1
Nicaragua,hombres,INDIGENAS,1838,4192,282,1
Nicaragua,hombres,INDIGENAS,1606,2099,283,1
Nicaragua,hombres,INDIGENAS,2830,6176,284,1
Nicaragua,hombres,INDIGENAS,1523,861,285,1
Nicaragua,hombres,INDIGENAS,1404,4377,286,1
Nicaragua,hombres,INDIGENAS,897,6263,287,1
Nicaragua,hombres,INDIGENAS,2073,1905,288,1
Nicaragua,hombres,INDIGENAS,1993,1492,289,1
Nicaragua,hombres,INDIGENAS,2977,4285,290,1
Nicaragua,hombres,INDIGENAS,1904,5189,291,1
Nicaragua,hombres,INDIGENAS,426,1265,292,1
Nicaragua,hombres,INDIGENAS,1192,4131,293,1
Nicaragua,hombres,INDIGENAS,206,6533,294,1
Nicaragua,hombres,INDIGENAS,2310,5646,295,1
Nicaragua,hombres,INDIGENAS,1279,5962,296,1
Nicaragua,hombres,INDIGENAS,500,5271,297,1
Nicaragua,hombres,INDIGENAS,1774,3838,298,1
Nicaragua,hombres,INDIGENAS,145,5633,299,1
Nicaragua,hombres,INDIGENAS,2594,3629,300,1
Nicaragua,hombres,INDIGENAS,2162,4324,301,1
Nicaragua,hombres,INDIGENAS,2327,2579,302,1
Nicaragua,hombres,INDIGENAS,905,4630,303,1
Nicaragua,hombres,INDIGENAS,1514,7448,304,1
Nicaragua,hombres,INDIGENAS,1233,1343,305,1
Nicaragua,hombres,INDIGENAS,1336,4127,306,1
Nicaragua,hombres,INDIGENAS,2328,6429,307,1
Nicaragua,hombres,INDIGENAS,366,3743,308,1
Nicaragua,hombres,INDIGENAS,1690,5013,309,1
Nicaragua,hombres,INDIGENAS,2520,2457,310,1
Nicaragua,hombres,INDIGENAS,2753,4390,311,1
Nicaragua,hombres,INDIGENAS,1168,3869,312,1
Nicaragua,hombres,INDIGENAS,1492,2571,313,1
Nicaragua,hombres,INDIGENAS,1644,5176,314,1
Nicaragua,hombres,INDIGENAS,2783,6558,315,1
Nicaragua,hombres,INDIGENAS,479,2688,316,1
Nicaragua,hombres,INDIGENAS,2226,5898,317,1
Nicaragua,hombres,INDIGENAS,123,5849,318,1
Nicaragua,hombres,INDIGENAS,1926,6442,319,1
Nicaragua,hombres,INDIGENAS,577,3913,320,1
Nicaragua,hombres,INDIGENAS,539,4387,321,1
Nicaragua,hombres,INDIGENAS,1138,6893,322,1
Nicaragua,hombres,INDIGENAS,1997,2459,323,1
Nicaragua,hombres,INDIGENAS,320,5353,324,1
Nicaragua,hombres,INDIGENAS,12,4442,325,1
Nicaragua,hombres,INDIGENAS,2674,6219,326,1
Nicaragua,hombres,INDIGENAS,2925,1852,327,1
Nicaragua,hombres,INDIGENAS,2330,3615,328,1
Nicaragua,hombres,INDIGENAS,895,3576,329,1
Nicaragua,hombres,INDIGENAS,1604,3187,330,1
Nicaragua,hombres,INDIGENAS,388,5422,331,1
Nicaragua,hombres,INDIGENAS,1763,1957,332,1
Nicaragua,hombres,INDIGENAS,623,4216,333,1
Nicaragua,hombres,INDIGENAS,1488,4559,334,1
Nicaragua,hombres,INDIGENAS,1201,3973,335,1
Nicaragua,hombres,INDIGENAS,867,4424,336,1
Nicaragua,hombres,INDIGENAS,1432,6527,337,1
Nicaragua,hombres,INDIGENAS,903,5855,338,1
Nicaragua,hombres,INDIGENAS,2515,6785,339,1
Nicaragua,hombres,INDIGENAS,2334,5278,340,1
Nicaragua,hombres,INDIGENAS,2805,2329,341,1
Nicaragua,hombres,INDIGENAS,2504,5785,342,1
Nicaragua,hombres,INDIGENAS,29,4006,343,1
Nicaragua,hombres,INDIGENAS,654,2736,344,1
Nicaragua,hombres,INDIGENAS,801,4167,345,1
Nicaragua,hombres,INDIGENAS,1750,5964,346,1
Nicaragua,hombres,INDIGENAS,413,5349,347,1
Nicaragua,hombres,INDIGENAS,2589,6438,348,1
Nicaragua,hombres,INDIGENAS,79,2450,349,1
Nicaragua,hombres,INDIGENAS,2758,4028,350,1
Nicaragua,hombres,INDIGENAS,2998,5596,351,1
Nicaragua,hombres,INDIGENAS,516,4231,352,1
Nicaragua,hombres,INDIGENAS,497,3943,353,1
Nicaragua,hombres,INDIGENAS,781,6222,354,1
Nicaragua,hombres,INDIGENAS,391,3612,355,1
Nicaragua,hombres,INDIGENAS,2661,6137,356,1
Nicaragua,hombres,INDIGENAS,1515,6902,357,1
Nicaragua,hombres,INDIGENAS,553,4147,358,1
Nicaragua,hombres,INDIGENAS,2703,5115,359,1
Nicaragua,hombres,INDIGENAS,141,4077,360,1
Nicaragua,hombres,INDIGENAS,1181,6142,361,1
Nicaragua,hombres,INDIGENAS,1079,6191,362,1
Nicaragua,hombres,INDIGENAS,937,3587,363,1
Nicaragua,hombres,INDIGENAS,2484,1784,364,1
Nicaragua,hombres,INDIGENAS,1579,4625,365,1
Nicaragua,hombres,INDIGENAS,154,4355,366,1
Nicaragua,hombres,INDIGENAS,460,4054,367,1
Nicaragua,hombres,INDIGENAS,1132,5247,368,1
Nicaragua,hombres,INDIGENAS,564,4763,369,1
Nicaragua,hombres,INDIGENAS,639,6041,370,1
Nicaragua,hombres,INDIGENAS,2368,3681,371,1
Nicaragua,hombres,INDIGENAS,809,5793,372,1
Nicaragua,hombres,INDIGENAS,2458,4782,373,1
Nicaragua,hombres,INDIGENAS,1857,5104,374,1
Nicaragua,hombres,INDIGENAS,212,3527,375,1
Nicaragua,hombres,INDIGENAS,2324,4927,376,1
Nicaragua,hombres,INDIGENAS,2080,6190,377,1
Nicaragua,hombres,INDIGENAS,2977,5185,378,1
Nicaragua,hombres,INDIGENAS,1569,2114,379,1
Nicaragua,hombres,INDIGENAS,2060,5184,380,1
Nicaragua,hombres,INDIGENAS,228,6796,381,1
Nicaragua,hombres,INDIGENAS,1460,4418,382,1
Nicaragua,hombres,INDIGENAS,2365,5248,383,1
Nicaragua,hombres,INDIGENAS,988,5130,384,1
Nicaragua,hombres,INDIGENAS,2635,4577,385,1
Nicaragua,hombres,INDIGENAS,1266,3300,386,1
Nicaragua,hombres,INDIGENAS,1465,4400,387,1
Nicaragua,hombres,INDIGENAS,3000,8026,388,1
Nicaragua,hombres,INDIGENAS,2711,4902,389,1
Nicaragua,hombres,INDIGENAS,2673,8265,390,1
Nicaragua,hombres,INDIGENAS,2517,3711,391,1
Nicaragua,hombres,INDIGENAS,359,5307,392,1
Nicaragua,hombres,INDIGENAS,453,4659,393,1
Nicaragua,hombres,INDIGENAS,2785,5967,394,1
Nicaragua,hombres,INDIGENAS,2610,7030,395,1
Nicaragua,hombres,INDIGENAS,167,4674,396,1
Nicaragua,hombres,INDIGENAS,2725,891,397,1
Nicaragua,hombres,INDIGENAS,1670,6024,398,1
Nicaragua,hombres,INDIGENAS,2850,2710,399,1
Nicaragua,hombres,INDIGENAS,2675,6180,400,1
Nicaragua,hombres,INDIGENAS,2056,4395,401,1
Costa Rica,hombres,INDIGENAS,2873,1191,402,1
Costa Rica,hombres,INDIGENAS,1359,3901,403,1
Costa Rica,hombres,INDIGENAS,2925,5113,404,1
Costa Rica,hombres,INDIGENAS,1097,6267,405,1
Costa Rica,hombres,INDIGENAS,1805,2436,406,1
Costa Rica,hombres,INDIGENAS,955,4714,407,1
Costa Rica,hombres,INDIGENAS,2552,4303,408,1
Costa Rica,hombres,INDIGENAS,1730,2121,409,1
Costa Rica,hombres,INDIGENAS,2859,2278,410,1
Costa Rica,hombres,INDIGENAS,284,3963,411,1
Costa Rica,hombres,INDIGENAS,2614,3443,412,1
Costa Rica,hombres,INDIGENAS,1935,5288,413,1
Costa Rica,hombres,INDIGENAS,583,3257,414,1
Costa Rica,hombres,INDIGENAS,1509,4208,415,1
Costa Rica,hombres,INDIGENAS,1607,5364,416,1
Costa Rica,hombres,INDIGENAS,2842,507,417,1
Costa Rica,hombres,INDIGENAS,305,1968,418,1
Costa Rica,hombres,INDIGENAS,1417,3945,419,1
Costa Rica,hombres,INDIGENAS,2696,4886,420,1
Costa Rica,hombres,INDIGENAS,1970,1572,421,1
Costa Rica,hombres,INDIGENAS,1662,5138,422,1
Costa Rica,hombres,INDIGENAS,883,4863,423,1
Costa Rica,hombres,INDIGENAS,2374,1684,424,1
Costa Rica,hombres,INDIGENAS,1654,7607,425,1
Costa Rica,hombres,INDIGENAS,377,6866,426,1
Costa Rica,hombres,INDIGENAS,2522,6352,427,1
Costa Rica,hombres,INDIGENAS,947,2860,428,1
Costa Rica,hombres,INDIGENAS,2940,6628,429,1
Costa Rica,hombres,INDIGENAS,1846,4096,430,1
Costa Rica,hombres,INDIGENAS,401,5060,431,1
Costa Rica,hombres,INDIGENAS,1072,1677,432,1
Costa Rica,hombres,INDIGENAS,2604,6582,433,1
Costa Rica,hombres,INDIGENAS,544,2682,434,1
Costa Rica,hombres,INDIGENAS,1355,5602,435,1
Costa Rica,hombres,INDIGENAS,2215,4521,436,1
Costa Rica,hombres,INDIGENAS,2409,7002,437,1
Costa Rica,hombres,INDIGENAS,546,5323,438,1
Costa Rica,hombres,INDIGENAS,2692,4062,439,1
Costa Rica,hombres,INDIGENAS,2308,5057,440,1
Costa Rica,hombres,INDIGENAS,2187,4332,441,1
Costa Rica,hombres,INDIGENAS,1204,2962,442,1
Costa Rica,hombres,INDIGENAS,1443,5293,443,1
Costa Rica,hombres,INDIGENAS,143,3782,444,1
Costa Rica,hombres,INDIGENAS,2411,3049,445,1
Costa Rica,hombres,INDIGENAS,2726,5038,446,1
Costa Rica,hombres,INDIGENAS,973,4580,447,1
Costa Rica,hombres,INDIGENAS,885,2928,448,1
Costa Rica,hombres,INDIGENAS,2028,3783,449,1
Costa Rica,hombres,INDIGENAS,247,5477,450,1
Costa Rica,hombres,INDIGENAS,2049,6388,451,1
Costa Rica,hombres,INDIGENAS,995,3442,452,1
Costa Rica,hombres,INDIGENAS,2842,890,453,1
Costa Rica,hombres,INDIGENAS,250,4662,454,1
Costa Rica,hombres,INDIGENAS,463,1855,455,1
Costa Rica,hombres,INDIGENAS,1210,8375,456,1
Costa Rica,hombres,INDIGENAS,2881,5393,457,1
Costa Rica,hombres,INDIGENAS,1120,4718,458,1
Costa Rica,hombres,INDIGENAS,2311,3935,459,1
Costa Rica,hombres,INDIGENAS,673,4712,460,1
Costa Rica,hombres,INDIGENAS,927,5870,461,1
Costa Rica,hombres,INDIGENAS,1305,3797,462,1
HONDURAS,hombres,INDIGENAS,613,4053,463,1
HONDURAS,hombres,INDIGENAS,182,5640,464,1
HONDURAS,hombres,INDIGENAS,2673,6575,465,1
HONDURAS,hombres,INDIGENAS,2270,6862,466,1
HONDURAS,hombres,INDIGENAS,545,6323,467,1
HONDURAS,hombres,INDIGENAS,682,3050,468,1
